sheet,Show,EpId,ClipId,clip_name,file_id,label,n_labels,descartada,Interjection,WordRep,Block,SoundRep,Prolongation,NoStutteredWords,Start,Stop,Unsure,PoorAudioQuality,DifficultToUnderstand,NaturalPause,Music,NoSpeech,split
primera_revision,ATMA,2020-05-27_03_54_34,7,ATMA_2020-05-27_03_54_34_7.wav,1ErpmcUVQJHljJ2Rrpy-zlYyVmRIV1pzs,SoundRep,1,False,0,0,0,1,0,0,498580,546580,0,0,0,0,0,0,train
primera_revision,ATMA,2020-05-27_03_54_34,28,ATMA_2020-05-27_03_54_34_28.wav,1F1S_fKdCfTteSzu7NMkoPLUtMItXpHD3,NoStutteredWords,1,False,0,0,0,0,0,1,1269816,1317816,0,0,0,1,0,0,train
primera_revision,ATMA,2020-05-27_03_55_03,3,ATMA_2020-05-27_03_55_03_3.wav,1640OhQ1N_hg3jixpPogcX0DRnJB5xWnr,NoStutteredWords,1,False,0,0,0,0,0,1,245922,293922,0,0,0,0,0,0,train
primera_revision,ATMA,2020-05-27_03_55_25,5,ATMA_2020-05-27_03_55_25_5.wav,155P6HefrH3V1UAOwteKmApSHBgRpuC0Q,SoundRep,1,False,0,0,0,1,0,0,372282,420282,0,0,0,0,0,0,test
primera_revision,ATMA,2020-05-27_03_55_25,14,ATMA_2020-05-27_03_55_25_14.wav,14Q1sjOjZ-fp6ewvF_XT0a8s2z7VmPKAS,NoStutteredWords,1,False,0,0,0,0,0,1,929128,977128,0,0,0,1,0,0,train
primera_revision,ATMA,2020-05-27_03_55_25,29,ATMA_2020-05-27_03_55_25_29.wav,14jemlrDPhpxubeOZFdlJyHVKftor96j4,NoStutteredWords,1,False,0,0,0,0,0,1,1653397,1701397,0,0,0,1,0,0,train
primera_revision,ATMA,2020-05-27_03_55_51,1,ATMA_2020-05-27_03_55_51_1.wav,1_ssBIbNfB3vKfrjO7Tg8FZANc16C3egQ,NoStutteredWords,1,False,0,0,0,0,0,1,88590,136590,0,0,0,0,0,0,test
primera_revision,ATMA,2020-05-27_03_55_51,6,ATMA_2020-05-27_03_55_51_6.wav,1a67TOoCqL-OnscQ-6W8ovHeEn-VCZARx,Prolongation,1,False,0,0,0,0,1,0,274716,322716,0,0,0,0,0,0,val
primera_revision,ATMA,2020-05-27_03_55_51,33,ATMA_2020-05-27_03_55_51_33.wav,1aWvnci8gBA4f-KgYOTPkd_lBKplnrGh5,NoStutteredWords,1,False,0,0,0,0,0,1,1629655,1677655,0,0,0,0,0,0,test
primera_revision,ATMA,2020-05-27_03_56_16,5,ATMA_2020-05-27_03_56_16_5.wav,1mUZNYNNCTQBmguh1be-OO_YUxBbkzd8M,NoStutteredWords,1,False,0,0,0,0,0,1,347924,395924,0,0,0,0,0,0,train
primera_revision,ATMA,2020-05-27_03_56_16,7,ATMA_2020-05-27_03_56_16_7.wav,1nxPMtcXo-SV23IP374l9-gFfFIGdTgvX,NoStutteredWords,1,False,0,0,0,0,0,1,478261,526261,0,0,0,0,0,0,train
primera_revision,ATMA,2020-05-27_03_56_16,30,ATMA_2020-05-27_03_56_16_30.wav,1pFk9Drv_XbFR0c7zDvvF4aCTOBQcrB7h,Block,1,False,0,0,1,0,0,0,1621168,1669168,0,0,0,0,0,0,train
primera_revision,ATMA,2020-05-27_03_56_16,41,ATMA_2020-05-27_03_56_16_41.wav,1nx9hYSOOIEg6ljI2J1p-vq4ZEgraJYQK,Block,2,False,0,0,1,1,0,0,2055010,2103010,0,0,0,0,0,0,train
